SDG 2 — Zero Hunger 

BSIT 0592 | Web-based library management system with mobile application for Batangas Provincial Library
BSIT 0599 | Ivisit: electronic visitors logbook for Batangas State University 
BSIT 0603 | Electronic enrollment processing with grading system and performance analytics for Centex with parents notification via SMS 
BSIT 0610 | Learning management system with analytics 
BSIT 0616 | Career strand selection for San Pascual National High School with data analytics 
BSIT 0648 | Web application for internship program of College of Informatics and Computer Science 
BSIT 0660 | IoT-based smart waste monitoring and control system for Batangas State University Alangilan Campus
BSIT 0672 | Web-based office & faculty evaluation for college of informatics and computing sciences 
BSIT 0674 | E-BOTO: an online voting system for the supreme student council at Batangas State University – the National Engineering University 
BSIT 0678 | Thesis archiving system for computer studies department in Lemery colleges 
BSIT 0682 | Batangas State University Alangilan extension services management system 
BSIT 0683 | Examination management system with item analysis 
BSIT 0684 | Mentor ways: an android tutor finder application for junior and senior high school students
BSIT 0694 | Web-based scholarship management system for the office of representative, 4th district of Batangas 
BSIT 0696 | Mental health support system for Batangas State University 
BSIT 0697 | Bauan technical high school student online system 
BSIT 0698 | Web-based grant management system for Batangas province scholarship division 
BSIT 0700 | Batangas State University Alangilan campus, mobile application for faculty information and evaluation 
BSIT 0724 | Network design and file server for Batangas National Highschool administration building
BSIT 0743 | Electronic library management system for Rosario technical high school 
BSIT 0745 | S-Cash:E-wallet for Southhill Montessori School , Inc,. 
BSIT 0754 | iSIKAP: an intelligent scholarship identification for knowldege and programs of Batangas province 
BSIT 0755 | Online appointment system for Batangas State University Alangilan campus 
BSIT 0759 | Cloud-based chatbot for testing and admission office of Batangas State University 
BSIT 0760 | Batangas State University Main I GPS navigation map mobile application 
BSIT 0770 | Quiz spartan: a web -based assessment tool with similarity recognition using k-nearest neighbors 
BSIT 0799 | Lipa City science integrated national high school student portal mobile application 
BSIT 0800 | Batangas State University library report generation 
BSIT 0803 | ECNAD: Enterprise campus network architecture design for Batangas State University Alangilan 
BSIT 0811 | EVENTO: a web-based event evaluation system for supreme student council at Batangas State University ‘The National Engineering University’ 
BSIT 0814 | Smart id access card for students of Taysan Senior High School 
BSIT 0840 | Smart fire detection system with SMS alert notification for Wenceslao Trinidad memorial national high school 
BSIT 0843 | Junior high school web-based career guidance system 
BSIT 0847 | Alangilan senior high school smart id
BSIT 0858 | Network architecture design and an on-premise universal file access and sync platform at Sta. Rita elementary school 
BSIT 0869 | Smart parking system in Batangas State University Pablo Borbon Campus 
BSIT 0874 | CAPMS: capstone project management system for the College of Informatics and Computing Sciences at Batangas State University - The National Engineering University Alangilan Campus 
BSIT 0877 | Local area network design with file server in Teodoro M. Luansing College of Rosario 
BSIT 0881 | Pinamukan Integrated School online news portal system 
BSIT 0892 | Web-based alumni portal and tracking system for Batangas State University – Alangilan 
BSIT 0898 | Web-based uniform and merchandise reservation, inventory, and sales system, Batangas State University Alangilan resource generation office 
BSIT 0908 | Web-based school portal with data visualization for Dr. Juan A. Pastor integrated national high school 
BSIT 0910 | Student portal for lipa city science integrated national high school with integration for improved service management 
BSIT 0917 | A data-driven scholarship allocation system for MSWDO of San Jose Batangas 
BSIT 0918 | ECOCONNECT: a web application volunteer management system for youth for environment in schools 
BSIT 0920 | Online student portal for ASIAN institute of computer studies 
BSIT 0921 | Lipa City Science Integrated National High School: Student portal using QR code 
BSIT 0922 | Document management system with document request and tracking for Sto. Niño Formation and Science School 
BSIT 0935 | Techedu Connect: A web-based learning management system for the Senior High School Department of Bauan Technical Integrated High School 
BSIT 0936 | Designing and implementing a learning management system for San Pascual Senior High School I with enhanced remote learning and customer support using real time messaging 
BSIT 0938 | Design and optimization of network infrastructure in Rizal College of Taal 
BSIT 0939 | Smarttrack: An IOT-based rfid attendance monitoring system for Alitagtag Senior High School 
BSIT 0946 | Enhancing network performance and security at Tinga SoroSoro Integrated School: A Mikrotik router-based solution 
BSIT 0959 | Conde Labac Integrated School student portal and registration system: A comprehensive solution using PHP and SQL server 
BSIT 0962 | Web-based automated scholarship application system for Manila Teachers of Batangas City 
BSIT 0966 | Senior High Portal Of Dr. Juan A. Pastor Integrated National High school with content management system integration for easy service management 
BSIT 0970 | A web-based enrollment management system with an automated schedule system for Anselmo A. Sandoval Memorial National High School 
BSIT 0971 | Development of student web portal for enhanced student services at Batangas City Integrated National Senior High School 
BSIT 0973 | Design and development of student services system of Alitagtag National High School 
BSIT 0978 | An Alumni tracking system for Paharang Integrated School 
BSIT 0982 | A web-based sustainable development goals monitoring system phase 1 for the sustainable development office of Batangas State University 
BSIT 0987 | Implementation of Batangas State University – TNEU mental health assessment portal 
BSIT 0989 | Empowering students with special needs through personalized e-learning platform 
BSIT 0990 | Puerto Galera National High School Student services system: Document tracking and appointment scheduling with emailing services 
BSIT 1009 | Student management system for paharang integrated school 
BSIT 1019 | Learning management system with special education Identification tool for Sunhill Montessori Casa -Batangas 
BSIT 1020 | Web-based student management and analytics system with large language model-generated insights for teamaces Driving academy 
BSIT 1028 | Analytic insights with equalearn: a web system for Batangas state university’s gender and development Office 
BSIT 1030 | Service academy: a learning analytics for Batangas State University Alangilan campus extension services 
BSIT 1032 | Studentsphere: a data-driven approach student portal with real-time notifications for san juan institute of technology 
BSIT 1044 | A comprehensive network design to enhance campus connectivity for Pedro A. Paterno National High School 
BSIT 1048 | Crowd control analysis: implementing image processing and machine learning models for congestion identification at Batangas State University 
BSIT 1050 | Alumni tracking: a tracing tool for graduates of Teodoro M. Luansing College of Rosario Batangas 
BSIT 1053 | Student Academic Support and Communication Platform For Cabuyao Integrated National High School (CINHS) 
BSIT 1054 | Integrated Learning Management and Evaluation System for Senior High Students of Anselmo A. Sandoval Memorial National High School 
BSIT 1056 | Astconnect: Alangilan Senior High School online library and learning resources with mobile application 
BSIT 1063 | Asian institute of computer studies digital hub: integrating business analytics through academic progress recommender system for enhanced educational operations 
